URL,type,periodOfReport,notSubjectToSection16,issuerTradingSymbol,m_isDirector,m_isOfficer,m_isTenPercentOwner,m_isOther,transactionCode,equitySwapInvolved,transactionTimeliness,transactionShares,sharesOwnedFollowingTransaction,directOrIndirectOwnership,init_prices,end_dates,end_prices,sharesBeforeTransaction,percentVolumeChange,percentPriceChange
https://www.sec.gov/Archives/edgar/data/106040/000126682422000025,4,2022-06-15,0,WDC,0,1,0,0,A,0,O,60060.0,152430.0,D,49.95,2023-06-15 00:00:00,41.08,92370.0,65.02111075024358,-17.757757757757766
https://www.sec.gov/Archives/edgar/data/1033331/000106528020000450,4,2020-10-20,0,NFLX,1,1,0,0,S,0,O,-17410.0,10700.0,D,525.42,2021-10-20 00:00:00,625.14,28110.0,-61.93525435787976,18.979102432339847
https://www.sec.gov/Archives/edgar/data/1550469/000161873219000006,4,2018-12-31,0,NTNX,1,0,0,0,G,0,E,-2200.0,41504.0,I,41.59,2019-12-31 00:00:00,31.26,43704.0,-5.033864177192019,-24.83770137052176
https://www.sec.gov/Archives/edgar/data/1067429/000075136422000013,4,2022-01-31,0,NNN,1,0,0,0,A,0,O,763.0,22373.0,D,44.38,2023-01-31 00:00:00,47.35,21610.0,3.5307727903748267,6.692203695358266
https://www.sec.gov/Archives/edgar/data/1174475/000123789921000004,4,2021-01-04,0,REGN,1,0,0,0,A,0,O,248.0,891.0,D,482.86,2022-01-04 00:00:00,616.82,643.0,38.56920684292379,27.74303110632482
https://www.sec.gov/Archives/edgar/data/1693920/000122520819002985,4,2019-02-15,0,BSX,0,1,0,0,F,0,O,-322.0,5630.0,D,40.01,2020-02-18 00:00:00,42.16,5952.0,-5.40994623655914,5.373656585853533
https://www.sec.gov/Archives/edgar/data/1240680/000124067911000034,4,2011-07-01,0,UFPT,0,1,0,0,F,0,O,-1270.0,129796.0,D,18.81,2012-07-02 00:00:00,17.1,131066.0,-0.968977461736835,-9.090909090909078
https://www.sec.gov/Archives/edgar/data/1017608/000120919120058348,4,2020-11-11,0,CVNA,0,0,1,0,C,0,O,1200.0,1200.0,D,207.25,2021-11-11 00:00:00,286.28,0.0,inf,38.13268998793726
https://www.sec.gov/Archives/edgar/data/1741191/000112760219028200,4,2019-09-10,0,EA,0,1,0,0,S,0,O,-1200.0,9573.0,D,99.5,2020-09-09 00:00:00,128.7,10773.0,-11.13895850737956,29.34673366834169
https://www.sec.gov/Archives/edgar/data/1110648/000168316819003087,4,2019-07-09,0,IMTL,1,1,0,0,P,0,O,100000.0,13173562.0,D,0.0041,2020-07-08 00:00:00,0.0002,13073562.0,0.7649024802880806,-95.1219512195122
https://www.sec.gov/Archives/edgar/data/1295231/000112760216070892,4,2016-12-21,0,GOOG,1,1,1,0,S,0,O,-2500.0,15221.0,D,39.728,2017-12-21 00:00:00,53.18150000000001,17721.0,-14.10755600699735,33.86402537253324
https://www.sec.gov/Archives/edgar/data/1308547/000120919116137860,4/A,2016-08-16,0,DLB,0,1,0,0,S,0,O,-1850.0,34940.0,D,49.06,2017-08-16 00:00:00,49.52,36790.0,-5.02854036422941,0.9376273950264998
https://www.sec.gov/Archives/edgar/data/1035201/000121465917005490,4,2017-09-01,0,CWT,0,1,0,0,F,0,O,-117.0,5769.0,D,37.25,2018-09-04 00:00:00,41.15,5886.0,-1.98776758409786,10.469798657718115
https://www.sec.gov/Archives/edgar/data/1278378/000118248910000339,4,2010-05-12,0,SMG,1,1,0,0,S,0,O,-2359.0,24000.0,D,47.9,2011-05-12 00:00:00,59.27,26359.0,-8.949504912932964,23.73695198329855
https://www.sec.gov/Archives/edgar/data/1221413/000077690121000029,4,2021-02-02,0,INDB,1,1,0,0,S,0,O,-355.0,0.0,I,78.3,2022-02-02 00:00:00,83.27,355.0,-100.0,6.347381864623243
