issuerTradingSymbol,date,close
UMBF,2023-11-16,71.78
UMBF,2023-11-17,73.0
UMBF,2023-11-20,72.35
UMBF,2023-11-21,70.97
UMBF,2023-11-22,71.53
UMBF,2023-11-24,71.3
UMBF,2023-11-27,70.96
UMBF,2023-11-28,70.73
UMBF,2023-11-29,71.99
UMBF,2023-11-30,71.66
UMBF,2023-12-01,74.65
UMBF,2023-12-04,76.0
UMBF,2023-12-05,75.82
BJRI,2022-12-06,29.71
BJRI,2022-12-07,28.92
BJRI,2022-12-08,30.09
BJRI,2022-12-09,29.74
BJRI,2022-12-12,29.52
BJRI,2022-12-13,29.4
BJRI,2022-12-14,29.65
BJRI,2022-12-15,29.41
BJRI,2022-12-16,28.28
BJRI,2022-12-19,27.15
BJRI,2022-12-20,27.44
BJRI,2022-12-21,27.37
BJRI,2022-12-22,27.44
BJRI,2022-12-23,27.75
BJRI,2022-12-27,27.15
BJRI,2022-12-28,26.41
BJRI,2022-12-29,26.81
BJRI,2022-12-30,26.38
BJRI,2023-01-03,26.85
BJRI,2023-01-04,27.86
BJRI,2023-01-05,27.31
BJRI,2023-01-06,27.94
BJRI,2023-01-09,29.12
BJRI,2023-01-10,30.68
BJRI,2023-01-11,30.62
BJRI,2023-01-12,30.63
BJRI,2023-01-13,31.34
BJRI,2023-01-17,31.6
BJRI,2023-01-18,31.23
BJRI,2023-01-19,30.68
BJRI,2023-01-20,32.17
BJRI,2023-01-23,32.19
BJRI,2023-01-24,30.58
BJRI,2023-01-25,31.25
BJRI,2023-01-26,31.56
BJRI,2023-01-27,31.2
BJRI,2023-01-30,31.01
BJRI,2023-01-31,31.57
BJRI,2023-02-01,31.33
BJRI,2023-02-02,33.17
BJRI,2023-02-03,32.79
BJRI,2023-02-06,33.59
BJRI,2023-02-07,34.16
BJRI,2023-02-08,33.9
BJRI,2023-02-09,33.22
BJRI,2023-02-10,32.48
BJRI,2023-02-13,32.1
BJRI,2023-02-14,33.29
BJRI,2023-02-15,33.85
BJRI,2023-02-16,34.58
BJRI,2023-02-17,33.66
BJRI,2023-02-21,34.33
BJRI,2023-02-22,35.8
BJRI,2023-02-23,35.07
BJRI,2023-02-24,33.61
BJRI,2023-02-27,32.83
BJRI,2023-02-28,32.0
BJRI,2023-03-01,32.19
BJRI,2023-03-02,32.82
BJRI,2023-03-03,32.31
BJRI,2023-03-06,32.08
BJRI,2023-03-07,31.69
BJRI,2023-03-08,31.36
BJRI,2023-03-09,30.19
BJRI,2023-03-10,29.47
BJRI,2023-03-13,28.61
BJRI,2023-03-14,28.82
BJRI,2023-03-15,29.45
BJRI,2023-03-16,30.3
BJRI,2023-03-17,29.52
BJRI,2023-03-20,29.53
BJRI,2023-03-21,29.52
BJRI,2023-03-22,29.09
BJRI,2023-03-23,28.6
BJRI,2023-03-24,28.58
BJRI,2023-03-27,28.55
BJRI,2023-03-28,29.24
BJRI,2023-03-29,29.57
BJRI,2023-03-30,29.4
BJRI,2023-03-31,29.14
BJRI,2023-04-03,28.92
BJRI,2023-04-04,28.65
BJRI,2023-04-05,28.64
BJRI,2023-04-06,28.35
BJRI,2023-04-10,29.04
BJRI,2023-04-11,29.16
BJRI,2023-04-12,27.9
BJRI,2023-04-13,27.92
BJRI,2023-04-14,27.74
BJRI,2023-04-17,27.7
BJRI,2023-04-18,28.63
BJRI,2023-04-19,28.69
BJRI,2023-04-20,29.16
BJRI,2023-04-21,31.34
BJRI,2023-04-24,29.4
BJRI,2023-04-25,28.52
BJRI,2023-04-26,28.37
BJRI,2023-04-27,28.9
BJRI,2023-04-28,32.54
BJRI,2023-05-01,32.21
BJRI,2023-05-02,32.1
BJRI,2023-05-03,31.71
BJRI,2023-05-04,31.41
BJRI,2023-05-05,30.86
BJRI,2023-05-08,29.97
BJRI,2023-05-09,30.95
BJRI,2023-05-10,30.65
BJRI,2023-05-11,30.0
BJRI,2023-05-12,29.92
BJRI,2023-05-15,30.4
BJRI,2023-05-16,30.46
BJRI,2023-05-17,32.57
BJRI,2023-05-18,33.39
BJRI,2023-05-19,32.34
BJRI,2023-05-22,30.98
BJRI,2023-05-23,30.85
BJRI,2023-05-24,31.72
BJRI,2023-05-25,31.62
BJRI,2023-05-26,30.99
BJRI,2023-05-30,29.85
BJRI,2023-05-31,29.78
BJRI,2023-06-01,30.22
BJRI,2023-06-02,31.65
BJRI,2023-06-05,30.49
BJRI,2023-06-06,30.76
BJRI,2023-06-07,32.64
BJRI,2023-06-08,31.89
BJRI,2023-06-09,31.36
BJRI,2023-06-12,31.27
BJRI,2023-06-13,32.03
BJRI,2023-06-14,31.68
BJRI,2023-06-15,31.56
BJRI,2023-06-16,30.64
BJRI,2023-06-20,30.4
BJRI,2023-06-21,31.03
BJRI,2023-06-22,31.07
BJRI,2023-06-23,30.37
BJRI,2023-06-26,30.72
BJRI,2023-06-27,31.24
BJRI,2023-06-28,30.72
BJRI,2023-06-29,31.43
BJRI,2023-06-30,31.8
BJRI,2023-07-03,32.43
BJRI,2023-07-05,30.98
BJRI,2023-07-06,30.62
BJRI,2023-07-07,30.84
BJRI,2023-07-10,31.81
BJRI,2023-07-11,31.93
BJRI,2023-07-12,34.33
BJRI,2023-07-13,34.39
BJRI,2023-07-14,34.26
BJRI,2023-07-17,34.34
BJRI,2023-07-18,35.05
BJRI,2023-07-19,35.46
BJRI,2023-07-20,35.23
BJRI,2023-07-21,33.81
BJRI,2023-07-24,33.76
BJRI,2023-07-25,33.34
BJRI,2023-07-26,33.58
BJRI,2023-07-27,33.34
BJRI,2023-07-28,36.46
BJRI,2023-07-31,37.66
BJRI,2023-08-01,36.58
BJRI,2023-08-02,36.35
BJRI,2023-08-03,36.23
BJRI,2023-08-04,36.28
